 id | score_id |   symbol   | status | justification |          created_at           |          updated_at           | incident_id 
----+----------+------------+--------+---------------+-------------------------------+-------------------------------+-------------
 30 |   113653 | TECH-071   | open   | auto          | 2026-03-01 17:32:49.652182+00 | 2026-03-01 17:32:49.652182+00 |          10
 29 |    88600 | REIT-041   | open   | auto          | 2026-03-01 17:29:37.322298+00 | 2026-03-01 17:29:37.322298+00 |           9
 28 |    88252 | REIT-041   | open   | auto          | 2026-03-01 17:29:34.961766+00 | 2026-03-01 17:29:34.961766+00 |           9
 27 |    87904 | REIT-041   | open   | auto          | 2026-03-01 17:29:32.785342+00 | 2026-03-01 17:29:32.785342+00 |           9
 26 |    75284 | COMM-021   | open   | auto          | 2026-03-01 17:27:57.954219+00 | 2026-03-01 17:27:57.954219+00 |           7
 25 |    57168 | MAT-081    | open   | auto          | 2026-03-01 17:25:48.328421+00 | 2026-03-01 17:25:48.328421+00 |           8
 24 |    56820 | MAT-081    | open   | auto          | 2026-03-01 17:25:45.853046+00 | 2026-03-01 17:25:45.853046+00 |           8
 23 |    55300 | COMM-021   | open   | auto          | 2026-03-01 17:25:35.810624+00 | 2026-03-01 17:25:35.810624+00 |           7
 22 |    54956 | COMM-021   | open   | auto          | 2026-03-01 17:25:33.200545+00 | 2026-03-01 17:25:33.200545+00 |           7
 21 |    54612 | COMM-021   | open   | auto          | 2026-03-01 17:25:30.893457+00 | 2026-03-01 17:25:30.893457+00 |           7
 20 |    43873 | REIT-081   | open   | auto          | 2026-03-01 17:24:22.317079+00 | 2026-03-01 17:24:22.317079+00 |           6
 19 |    43529 | REIT-081   | open   | auto          | 2026-03-01 17:24:20.175799+00 | 2026-03-01 17:24:20.175799+00 |           6
 18 |    43185 | REIT-081   | open   | auto          | 2026-03-01 17:24:18.134817+00 | 2026-03-01 17:24:18.134817+00 |           6
 17 |    42841 | REIT-081   | open   | auto          | 2026-03-01 17:24:16.14849+00  | 2026-03-01 17:24:16.14849+00  |           6
 16 |    32712 | IND-071    | open   | auto          | 2026-03-01 17:23:14.063003+00 | 2026-03-01 17:23:14.063003+00 |           5
 15 |    32368 | IND-071    | open   | auto          | 2026-03-01 17:23:10.450028+00 | 2026-03-01 17:23:10.450028+00 |           5
 14 |    25107 | IND-071    | open   | auto          | 2026-03-01 17:22:34.246208+00 | 2026-03-01 17:22:34.246208+00 |           5
 13 |    23443 | ENERGY-081 | open   | auto          | 2026-03-01 17:22:26.075524+00 | 2026-03-01 17:22:26.075524+00 |           4
 12 |    23099 | ENERGY-081 | open   | auto          | 2026-03-01 17:22:24.308815+00 | 2026-03-01 17:22:24.308815+00 |           4
 11 |    22755 | ENERGY-081 | open   | auto          | 2026-03-01 17:22:22.484593+00 | 2026-03-01 17:22:22.484593+00 |           4
 10 |    22411 | ENERGY-081 | open   | auto          | 2026-03-01 17:22:20.70645+00  | 2026-03-01 17:22:20.70645+00  |           4
  9 |    22067 | ENERGY-081 | open   | auto          | 2026-03-01 17:22:18.513803+00 | 2026-03-01 17:22:18.513803+00 |           4
  8 |     9005 | UTIL-001   | open   | auto          | 2026-03-01 17:21:03.738094+00 | 2026-03-01 17:21:03.738094+00 |           3
  7 |     8289 | UTIL-001   | open   | auto          | 2026-03-01 17:20:59.47974+00  | 2026-03-01 17:20:59.47974+00  |           3
  6 |     8174 | HC-081     | open   | auto          | 2026-03-01 17:20:58.833755+00 | 2026-03-01 17:20:58.833755+00 |           2
(25 rows)

