   id   |                         idempotency_key                          | symbol  |           ts           |        score        | severity |                        explanation                         | replay_run_id |   raw_anomaly_score   | normalized_anomaly_score | escalation_probability |   priority_score   |   composite_risk    |                      feature_snapshot_hash                       | feature_set_version |    model_version    | calibration_version |                                                                                                                                                                                                                                                                explanation_payload                                                                                                                                                                                                                                                                |            scoring_run_id            |      produced_at       |                          artifact_hash                           |                       model_artifact_hash                        
--------+------------------------------------------------------------------+---------+------------------------+---------------------+----------+------------------------------------------------------------+---------------+-----------------------+--------------------------+------------------------+--------------------+---------------------+------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------+------------------------+------------------------------------------------------------------+------------------------------------------------------------------
 191607 | 138931db08c2959a931617874ad8f39c2d498166fafe2db8de589da2bc8d5759 | HC-079  | 2026-03-01 17:22:27+00 |  0.3191459725548258 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.17557395153762154 |      0.45928991922936924 |    0.02126177034876353 |  17.81947660115209 |  0.3191459725548258 | 1ca72268cca2656fa1dae8004808d6917d92437c383a95dc83134445459aca8e | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 1.079952143327808, "delta_vs_baseline": 1.079952143327808}, {"feature": "z_ret_60", "contribution": 0.05571266843078116, "delta_vs_baseline": -0.05571266843078116}, {"feature": "dq_penalty", "contribution": -0.006672728720000001, "delta_vs_baseline": 0.006672728720000001}, {"feature": "volume_surprise_60", "contribution": 0.0014030220365396603, "delta_vs_baseline": 0.0014030220365396603}]} | c74c7953-94bb-422e-a590-a7d0e5956908 | 2026-03-01 17:41:52+00 | 23b42db67345d44eb5d9a398f610201685b77a00aaa03bb1b030d0488b995400 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191606 | cc13a8112555addb9bf1b63043d7bdc477d2438c6bc9d3386d6a4d79de318bcc | HC-070  | 2026-03-01 17:22:27+00 |  0.3063696360621239 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.15704422931645753 |       0.4284070488607626 |   0.019174572992799458 |  17.07096695818143 |  0.3063696360621239 | 3f91175de171df7cffb6692c5de21f23bff359ed38ae2587e6d23b2f67b0c6a6 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "volume_surprise_60", "contribution": 1.3059676577391046, "delta_vs_baseline": -1.3059676577391046}, {"feature": "ewma_vol_60", "contribution": 1.1420049978319988, "delta_vs_baseline": 1.1420049978319988}, {"feature": "z_ret_60", "contribution": 1.0940382037162177, "delta_vs_baseline": -1.0940382037162177}, {"feature": "dq_penalty", "contribution": -0.0066775610766666655, "delta_vs_baseline": 0.0066775610766666655}]}    | aceaf5f9-68cb-4401-81f8-a7b18b583112 | 2026-03-01 17:41:52+00 | 849157b495bf8a92c90160e15349b1f6a60a47e8a17eeff89e943b406cb9f6bc | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191605 | 3825a1891efb8a750ef5166ec574b39140ab479862cb1f8cdbe80e06105b3c98 | HC-066  | 2026-03-01 17:22:27+00 |  0.3340824117454737 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |    -0.201754162931452 |       0.5029236048857534 |   0.023501900252392464 | 18.385995713048363 |  0.3340824117454737 | 31feb351aa70495d0842635cc6d0dd79e92e14332f059b00b5964daaab276273 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 4.14536242629911, "delta_vs_baseline": 4.14536242629911}, {"feature": "volume_surprise_60", "contribution": 1.7076342754730915, "delta_vs_baseline": 1.7076342754730915}, {"feature": "z_ret_60", "contribution": 0.21722230006402934, "delta_vs_baseline": -0.21722230006402934}, {"feature": "dq_penalty", "contribution": -0.006683904324999999, "delta_vs_baseline": 0.006683904324999999}]}         | 6d45ea5d-adf3-4c84-8002-6fe78475afc1 | 2026-03-01 17:41:52+00 | c106e5f08e2a5c317cb9118d35efd2e86cc89ea7aef3dec16f6f7043978ad035 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191604 | 6d949c4d15bfe735cd77580e52a2ba99b8b0f51aa1fa72efddaaa5a9566ae1ac | HC-064  | 2026-03-01 17:22:27+00 | 0.31497222555904963 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.16888344057964702 |       0.4481390676327451 |   0.020373005650015603 | 17.627603026348055 | 0.31497222555904963 | 20a86afc7ab60746e9ff7c4b7de46de5af38c06db0805ff55f21dad3389b2c4b | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 0.8361637698009852, "delta_vs_baseline": 0.8361637698009852}, {"feature": "volume_surprise_60", "contribution": 0.432324046796548, "delta_vs_baseline": -0.432324046796548}, {"feature": "z_ret_60", "contribution": 0.06986206051938523, "delta_vs_baseline": 0.06986206051938523}, {"feature": "dq_penalty", "contribution": -0.006694326356666666, "delta_vs_baseline": 0.006694326356666666}]}       | 9dc6c95a-52c7-4423-be4b-f37f160fba9e | 2026-03-01 17:41:52+00 | 9325345d5a7d7c82ac160f32776984ba4001d4a3f1468e68095ac6b71cfef7de | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191603 | 7129e791e17feef198798bb25d4fe69c9c73394eb6c7ad0ddc50b75d44efc1dd | HC-063  | 2026-03-01 17:22:27+00 |  0.2275927039441995 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               | -0.061629683054227585 |       0.2693828050903793 |   0.020710128120368942 | 13.206083376659011 |  0.2275927039441995 | e68615cd28d92b7541f7a6c2c42faeb2889c4fd479229b8e85ff718b09fcb407 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 1.6235949510175511, "delta_vs_baseline": 1.6235949510175511}, {"feature": "volume_surprise_60", "contribution": 1.055080538818898, "delta_vs_baseline": -1.055080538818898}, {"feature": "ewma_vol_60", "contribution": 0.0304153583467212, "delta_vs_baseline": 0.0304153583467212}, {"feature": "dq_penalty", "contribution": -0.006694362768333332, "delta_vs_baseline": 0.006694362768333332}]}         | d80189b5-c789-40ba-b634-42a6f2d584c5 | 2026-03-01 17:41:52+00 | e7def4fe7e37ab1caed3c248bf482f20c344ffce4c0c32b81fc7dff857767c93 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191602 | 4ec0f3d0914b179f6c48ded57a209f717051f1332b303d63a21a9ec96edb5601 | HC-062  | 2026-03-01 17:22:27+00 |  0.3279713716918954 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |    -0.192183646836338 |      0.48697274472723007 |   0.021754178386519878 |  18.10499573763793 |  0.3279713716918954 | d84675ad6b503a6339a209ac20dca41019e9b0b4299b32a3889dd0bf4a4c2ed5 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 0.3801504895176662, "delta_vs_baseline": 0.3801504895176662}, {"feature": "volume_surprise_60", "contribution": 0.16189142730781275, "delta_vs_baseline": -0.16189142730781275}, {"feature": "ewma_vol_60", "contribution": 0.11887953889865845, "delta_vs_baseline": 0.11887953889865845}, {"feature": "dq_penalty", "contribution": -0.006703516516666666, "delta_vs_baseline": 0.006703516516666666}]}   | 732de7d8-5327-4ce7-86ad-f40daf84e9bb | 2026-03-01 17:41:52+00 | ed9d5c5e9796686a38e411a5604b1d1093057dabb97e37bc5fb013dfea4d6455 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191601 | 2043812109476e12d7bcb1aadc7648e7ee8e1d042c66c1ec26390bd0e5a02763 | HC-059  | 2026-03-01 17:22:27+00 | 0.35785372196688436 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.24201787496359708 |       0.5700297916059952 |   0.020003399294922643 |  19.64047977879879 | 0.35785372196688436 | 349407997d79a27d7e587d297852a42ff2f9aacae503ff6c3eb8ba659e2b7752 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 16.49661728600756, "delta_vs_baseline": 16.49661728600756}, {"feature": "volume_surprise_60", "contribution": 1.5070123010751553, "delta_vs_baseline": -1.5070123010751553}, {"feature": "z_ret_60", "contribution": 0.3550558191077775, "delta_vs_baseline": -0.3550558191077775}, {"feature": "dq_penalty", "contribution": -0.00671645947, "delta_vs_baseline": 0.00671645947}]}                      | 28f7b91c-b59f-468a-bdce-68fc71451f0b | 2026-03-01 17:41:52+00 | 8f53c2be2bc674cdf851b01a08fe7a84369109cdc1cbb4237aecbeeb58a8a03e | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191600 | 63f6f9028eff76270a2c6a11faacca7e589ef4e22677f72cfd6840c2c7d1cd72 | HC-058  | 2026-03-01 17:22:27+00 | 0.34726081373748297 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.22264869067446028 |       0.5377478177907672 |   0.020137147850961223 | 19.233740610356183 | 0.34726081373748297 | 95b19c9c71e6454374ec4cb490c099e286e6285a7a219de01f029f6e8896d791 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 11.469933427415306, "delta_vs_baseline": 11.469933427415306}, {"feature": "volume_surprise_60", "contribution": 1.522781344910804, "delta_vs_baseline": -1.522781344910804}, {"feature": "z_ret_60", "contribution": 0.1672812770772385, "delta_vs_baseline": -0.1672812770772385}, {"feature": "dq_penalty", "contribution": -0.006738684738333334, "delta_vs_baseline": 0.006738684738333334}]}        | b0a8b8df-6c3a-4e9a-b60b-c8b02bfb2293 | 2026-03-01 17:41:52+00 | 88555f6ce828364f6c4e95f96e744c8616e41cdc6cd642f31351e16c7999f70c | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191599 | cd6a3a9aa83c7d73972303e69b10ca4fcdea7ae7ecf28be162920821095aaf01 | HC-057  | 2026-03-01 17:22:27+00 |  0.3517520606799988 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |   -0.2303903991945581 |       0.5506506653242635 |    0.02228842001954666 |  19.35992637550789 |  0.3517520606799988 | 14b69c57a7735a909ce4e3741a5daa3cd6d1f8fece639f3314e69946f49d4566 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 20.02588295659166, "delta_vs_baseline": 20.02588295659166}, {"feature": "volume_surprise_60", "contribution": 0.24434366254251413, "delta_vs_baseline": 0.24434366254251413}, {"feature": "z_ret_60", "contribution": 0.2136915525728996, "delta_vs_baseline": -0.2136915525728996}, {"feature": "dq_penalty", "contribution": -0.006738825998333333, "delta_vs_baseline": 0.006738825998333333}]}       | 4ea93d4a-55e0-43f1-8259-ff24e80f98b2 | 2026-03-01 17:41:52+00 | 14206ec787f4e55d9ef45fad7ba95800b3ea9961c2cf26f61aa97469709d0b6c | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191598 | e15c2322f8dd1ccda796c24952a19cbaa65fff07b3795ced564004cb7f1c1c3d | HC-052  | 2026-03-01 17:22:27+00 | 0.28809247381946085 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.12487105696070896 |      0.37478509493451495 |   0.020868581006767122 |  16.23070371626726 | 0.28809247381946085 | 5a4b171ff6d92be16b1f6e38480078d0c31252ee3668663d15127017c36106fe | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 0.2416075311876593, "delta_vs_baseline": 0.2416075311876593}, {"feature": "ewma_vol_60", "contribution": 0.22808396442537995, "delta_vs_baseline": 0.22808396442537995}, {"feature": "volume_surprise_60", "contribution": 0.061212208847729564, "delta_vs_baseline": 0.061212208847729564}, {"feature": "dq_penalty", "contribution": -0.00676596494, "delta_vs_baseline": 0.00676596494}]}                | be044828-155a-4404-a325-90f91d4e29d5 | 2026-03-01 17:41:52+00 | 5202076addd1328786d477192a8e540a00d913c75a0080028bd40360a9e2954f | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191597 | 928bfcc700c21d5e8af184a676c0692b54c329acc1aacac4ea17f0d0770da432 | HC-049  | 2026-03-01 17:22:27+00 |  0.3625977097732619 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.24657876765962108 |       0.5776312794327019 |    0.02587749193593936 | 19.899289240930003 |  0.3625977097732619 | afcbab1bf4e98ee55139a223fa3ca7e40a5d2dc159fd21b00d54ad303e19afa5 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 22.763002476492233, "delta_vs_baseline": 22.763002476492233}, {"feature": "volume_surprise_60", "contribution": 1.195009950123278, "delta_vs_baseline": 1.195009950123278}, {"feature": "z_ret_60", "contribution": 0.31857765128804844, "delta_vs_baseline": -0.31857765128804844}, {"feature": "dq_penalty", "contribution": -0.006785520828333334, "delta_vs_baseline": 0.006785520828333334}]}       | 143e723a-cd32-4a88-96db-1faef80d8476 | 2026-03-01 17:41:52+00 | 5a6b5131e9736921a31a91c49ed48d5f45f14abc927e177c6f239bbb86794bfc | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
