inference-1  | 2026-03-01 04:47:00,131 INFO 127.0.0.1 - - [01/Mar/2026 04:47:00] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:04,922 INFO 172.18.0.4 - - [01/Mar/2026 04:47:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:05,291 INFO 127.0.0.1 - - [01/Mar/2026 04:47:05] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:09,921 INFO 172.18.0.4 - - [01/Mar/2026 04:47:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:10,428 INFO 127.0.0.1 - - [01/Mar/2026 04:47:10] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:14,922 INFO 172.18.0.4 - - [01/Mar/2026 04:47:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:15,563 INFO 127.0.0.1 - - [01/Mar/2026 04:47:15] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:19,920 INFO 172.18.0.4 - - [01/Mar/2026 04:47:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:20,701 INFO 127.0.0.1 - - [01/Mar/2026 04:47:20] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:24,921 INFO 172.18.0.4 - - [01/Mar/2026 04:47:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:25,844 INFO 127.0.0.1 - - [01/Mar/2026 04:47:25] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:29,921 INFO 172.18.0.4 - - [01/Mar/2026 04:47:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:31,027 INFO 127.0.0.1 - - [01/Mar/2026 04:47:31] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:34,921 INFO 172.18.0.4 - - [01/Mar/2026 04:47:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:36,158 INFO 127.0.0.1 - - [01/Mar/2026 04:47:36] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:39,921 INFO 172.18.0.4 - - [01/Mar/2026 04:47:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:41,309 INFO 127.0.0.1 - - [01/Mar/2026 04:47:41] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:44,920 INFO 172.18.0.4 - - [01/Mar/2026 04:47:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:46,459 INFO 127.0.0.1 - - [01/Mar/2026 04:47:46] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:49,921 INFO 172.18.0.4 - - [01/Mar/2026 04:47:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:51,591 INFO 127.0.0.1 - - [01/Mar/2026 04:47:51] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:54,920 INFO 172.18.0.4 - - [01/Mar/2026 04:47:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:56,720 INFO 127.0.0.1 - - [01/Mar/2026 04:47:56] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:47:59,922 INFO 172.18.0.4 - - [01/Mar/2026 04:47:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:01,852 INFO 127.0.0.1 - - [01/Mar/2026 04:48:01] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:04,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:06,995 INFO 127.0.0.1 - - [01/Mar/2026 04:48:06] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:09,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:12,182 INFO 127.0.0.1 - - [01/Mar/2026 04:48:12] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:14,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:17,342 INFO 127.0.0.1 - - [01/Mar/2026 04:48:17] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:19,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:22,578 INFO 127.0.0.1 - - [01/Mar/2026 04:48:22] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:24,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:27,763 INFO 127.0.0.1 - - [01/Mar/2026 04:48:27] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:29,922 INFO 172.18.0.4 - - [01/Mar/2026 04:48:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:32,925 INFO 127.0.0.1 - - [01/Mar/2026 04:48:32] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:34,923 INFO 172.18.0.4 - - [01/Mar/2026 04:48:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:38,101 INFO 127.0.0.1 - - [01/Mar/2026 04:48:38] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:39,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:43,283 INFO 127.0.0.1 - - [01/Mar/2026 04:48:43] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:44,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:48,499 INFO 127.0.0.1 - - [01/Mar/2026 04:48:48] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:49,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:53,657 INFO 127.0.0.1 - - [01/Mar/2026 04:48:53] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:54,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:58,840 INFO 127.0.0.1 - - [01/Mar/2026 04:48:58] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:59,922 INFO 172.18.0.4 - - [01/Mar/2026 04:48:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:04,024 INFO 127.0.0.1 - - [01/Mar/2026 04:49:04] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:04,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:09,204 INFO 127.0.0.1 - - [01/Mar/2026 04:49:09] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:09,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:14,389 INFO 127.0.0.1 - - [01/Mar/2026 04:49:14] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:14,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:19,537 INFO 127.0.0.1 - - [01/Mar/2026 04:49:19] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:19,922 INFO 172.18.0.4 - - [01/Mar/2026 04:49:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:24,697 INFO 127.0.0.1 - - [01/Mar/2026 04:49:24] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:24,922 INFO 172.18.0.4 - - [01/Mar/2026 04:49:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:29,841 INFO 127.0.0.1 - - [01/Mar/2026 04:49:29] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:29,922 INFO 172.18.0.4 - - [01/Mar/2026 04:49:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:34,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:34,975 INFO 127.0.0.1 - - [01/Mar/2026 04:49:34] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:39,920 INFO 172.18.0.4 - - [01/Mar/2026 04:49:39] "GET /metrics HTTP/1.1" 200 -
