topics-init-1  | TOPIC      STATUS
topics-init-1  | raw.ticks  OK
topics-init-1  | TOPIC            STATUS
topics-init-1  | derived.candles  OK
topics-init-1  | TOPIC             STATUS
topics-init-1  | derived.features  OK
topics-init-1  | TOPIC           STATUS
topics-init-1  | derived.scores  OK
topics-init-1  | TOPIC           STATUS
topics-init-1  | alerts.created  OK
topics-init-1  | TOPIC       STATUS
topics-init-1  | dq.metrics  OK
topics-init-1  | TOPIC           STATUS
topics-init-1  | dlq.aggregator  OK
topics-init-1  | TOPIC         STATUS
topics-init-1  | dlq.features  OK
topics-init-1  | TOPIC          STATUS
topics-init-1  | dlq.inference  OK
topics-init-1  | TOPIC       STATUS
topics-init-1  | dlq.alerts  OK
